Year,Violent_sum,Property_sum,City
2012,12,324,La Canada-Flintridge
2012,859,3498,Lancaster
2013,163,1774,Alhambra
2013,77,1518,Arcadia
2013,63,323,Artesia
2013,4,88,Avalon
2013,246,1098,Azusa
2013,220,1370,Baldwin Park
2013,208,535,Bell
2013,279,1882,Bellflower
2013,120,763,Bell Gardens
2013,3,55,La Habra Heights
2013,11,148,Westlake Village
2013,77,1179,Beverly Hills
2013,1,16,Bradbury
2013,171,2430,Burbank
2013,37,894,Claremont
2013,83,893,Commerce
2013,1242,2538,Compton
2013,138,1344,Covina
2013,111,320,Cudahy
2013,161,1616,Culver City
2013,82,1802,Cerritos
2013,19,306,Agoura Hills
2013,216,1435,West Hollywood
2013,276,2713,Santa Clarita
2013,62,886,Diamond Bar
2013,326,3292,Downey
2013,41,366,Duarte
2013,340,2182,El Monte
2013,37,538,El Segundo
2013,245,1331,Gardena
2013,181,3198,Glendale
2013,65,1340,Glendora
2013,56,205,Hawaiian Gardens
2013,580,2242,Hawthorne
2013,27,549,Hermosa Beach
2013,20,313,Calabasas
2013,28,350,Malibu
2013,2,7,Hidden Hills
2013,359,1812,Huntington Park
2013,51,1041,Industry
2013,739,2718,Inglewood
2013,20,229,Irwindale
2013,225,2062,Lakewood
2013,72,841,La Mirada
2013,143,493,La Puente
2013,37,753,La Verne
2013,162,419,Lawndale
2013,66,414,Lomita
2013,2346,12999,Long Beach
2013,16524,85844,Los Angeles
2013,436,1528,Lynwood
2013,64,853,Manhattan Beach
2013,112,320,Maywood
2013,57,806,Monrovia
2013,183,1756,Montebello
2013,104,1162,Monterey Park
2013,407,2246,Norwalk
2013,759,3344,Palmdale
2013,6,147,Palos Verdes Estates
2013,222,1633,Paramount
2013,434,3779,Pasadena
2013,207,1521,Pico Rivera
2013,809,4394,Pomona
2013,160,1588,Redondo Beach
2013,0,11,Rolling Hills
2013,3,118,Rolling Hills Estates
2013,149,1067,Rosemead
2013,65,706,San Dimas
2013,85,399,San Fernando
2013,103,724,San Gabriel
2013,20,224,San Marino
2013,75,1206,Santa Fe Springs
2013,324,3544,Santa Monica
2013,13,129,Sierra Madre
2013,32,554,Signal Hill
2013,88,444,South El Monte
2013,496,2698,South Gate
2013,29,568,South Pasadena
2013,48,476,Temple City
2013,187,2786,Torrance
2013,22,321,Vernon
2013,37,463,Walnut
2013,231,3370,West Covina
2013,223,2383,Whittier
2013,400,2251,Carson
2013,30,580,Rancho Palos Verdes
2013,12,303,La Canada-Flintridge
2013,832,3495,Lancaster
2014,168,1743,Alhambra
2014,60,1159,Arcadia
2014,49,294,Artesia
2014,20,89,Avalon
2014,165,1065,Azusa
2014,219,1342,Baldwin Park
2014,217,718,Bell
2014,293,1623,Bellflower
2014,108,710,Bell Gardens
2014,8,49,La Habra Heights
2014,7,173,Westlake Village
2014,111,1071,Beverly Hills
2014,2,9,Bradbury
2014,150,2426,Burbank
2014,39,853,Claremont
2014,77,965,Commerce
2014,1129,2619,Compton
2014,110,1108,Covina
2014,81,332,Cudahy
2014,169,1693,Culver City
2014,86,1525,Cerritos
2014,17,234,Agoura Hills
2014,267,1325,West Hollywood
2014,307,2437,Santa Clarita
2014,49,722,Diamond Bar
2014,281,2897,Downey
2014,54,352,Duarte
2014,333,2213,El Monte
2014,48,538,El Segundo
2014,276,1389,Gardena
2014,186,3073,Glendale
2014,66,1241,Glendora
2014,55,183,Hawaiian Gardens
2014,658,2588,Hawthorne
2014,37,543,Hermosa Beach
2014,19,252,Calabasas
2014,25,312,Malibu
2014,0,12,Hidden Hills
